, JK
grip, You
gripped, the
gripping, a
grisly, sight
gritted, Well
groan, Gilderoy
groaned, Hermione
groaning, 
groggily, Quidditch
groping, for
ground, Harry
grounds, 
group, of
groups, as
grow, on
growin, said
growing, hoarse
growl, Already
growled, as
grown, fond
grows, ever
growth, of
grubby, and
grudge, against
gruesome, to
gruffly, Thats
grumbling, about
grumpy, Sounds
grunt, of
grunted, the
guaranteed, some
guard, all
guarding, the
guards, like
guess, what
guessed, that
guessing, the
guests, first
guffaw, Wait
guidance, Percy
guides, leaving
guilt, thinking
guiltily, in
guilty, said
gullible, Hermiones
gulp, of
gulped, Argus
gulps, It
gun, and
gurgling, morosely
ha, What
had, come
hadnt, acted
haggis, Can
haggle, Harry
hail, of
hailstorm, of
hair, was
haircare, potions
haircut, to
hairline, and
hairpin, to
hairs, stand
hairy, chin
half, past
halfblood, anyway
halfbloods, orphans
halfcompleted, form
halfdarkness, Riddle
halfdressed, with
halfempty, and
halfforgotten, But
halfhidden, behind
halflistening, He
halfmoon, spectacles
halfpast, three
halfplucked, turkey
halfpolished, but
halfshouted, The
halfway, through
hall, and
halt, Ive
halted, rearing
halves, slid
ham, Fred
hammered, on
hammering, Riddles
hampered, of
hand, Ginny
handbag, swinging
handed, it
handful, of
handfuls, of
handing, it
handknitted, sweater
handle, however
handles, and
handpicked, students
hands, You
handsome, boy
handson, experience
handy, one
hanging, around
hangmans, rope
haphazardly, throwing
happen, to
happened, then
happening, he
happenings, at
happier, than
happiest, of
happily, out
happy, again
harassedlooking, wizard
hard, on
harder, than
hardest, on
hardly, seem
harm, Harry
harmed, a
harmony, together
harp, in
harps, My
has, given
hasnt, been
hassle, if
hastily, folded
hat, Harry
hatched, beneath
hatching, Aragog
hate, them
hated, the
hates, anyone
hatred, Not
hats, Harry
hauled, to
haunt, Olive
haunts, a
have, been
havedied, you
havent, finished
having, a
havoc, and
haze, of
he, told
head, What
headed, straight
headfirst, through
heading, for
headless, horseman
headlights, glaring
headline, FLYING
headlock, and
headlong, over
headmaster, now
headmasters, job
headmistresses, all
heads, Even
healing, powers
heap, on
heaped, on
hear, what
heard, that
hearing, a
hears, it
heart, of
hearth, Harry
heartily, sick
hearts, sank
heartshaped, confetti
heartstopping, crash
hearty, guffaw
heave, and
heaved, it
heavens, sake
heavily, wrapped
heaving, with
heavy, for
hed, intended
hedge, Then
heed, Dobby
heel, and
heels, the
height, of
heir, for
held, up
hell, know
hello, Hagrid
help, me
helped, her
helpfully, Myrtle
helping, himself
helpings, of
hem, of
hen, coop
her, all
here, 
herell, believe
heres, the
hero, who
herself, up
hes, been
hesitant, voice
hesitate, to
hesitated, for
hesitation, Hearing
hex, on
hibernate, for
hiccoughing, occasionally
hid, the
hidden, because
hide, them
hiding, in
high, in
highbacked, chairs
higher, until
highest, seats
highly, individual
highpitched, voice
highway, when
hill, broomsticks
hilt, Godric
him, will
himself, to
hinges, Hermione
hint, about
hints, that
hips, staring
his, quill
hiss, After
hissed, Oh
hisses, heard
hissing, something
historical, sources
history, His
hit, the
hitched, up
hitherto, been
hits, back
hitting, himself
hoarse, from
hoarsely, grabbing
hobbled, across
hoist, Ginny
hoisted, them
hold, of
holder, Best
holders, Page
holding, up
holds, memories
holdup, in
hole, through
holiday, its
holidays, They
hollow, eye
hollowly, Ive
holly, and
home, on
homework, However
honest, facts
honestly, 
honor, if
hood, Hedwig
hoodwinked, by
hooked, nose
hoops, 
hooting, noise
hope, occurred
hoped, never
hopeful, that
hopefully, They
hopeless, was
hopelessly, from
hopes, hadnt
hopin, she
hoping, against
hopped, aside
horizon, high
horizontal, six
horn, screeching
horny, little
horrible, somersault
horribly, wrong
horrified, face
horror, Which
horrors, truck
horse, and
horsefaced, and
horseman, The
horses, galloped
hose, its
hospital, wing
hot, chocolate
hotly, stopping
hour, he
hours, in
house, tail
housed, far
houseelf, Were
houseelfs, enslavement
houseelves, were
household, pests
houses, Gryffindor
hovercraft, This
hovering, in
how, to
however, was
howl, Harry
howled, Seamus
howling, loudly
hows, the
hubbub, had
huddle, having
huddled, together
huge, form
hugged, him
human, The
humble, and
humiliation, Harry
humming, placidly
hunched, Theyll
hundred, points
hundreds, of
hundredth, time
hung, onto
hunger, jumped
hungrier, I
hungry, eyes
hunt, activities
hunting, horn
huntsmen, whose
hurled, themselves
hurried, out
hurriedly, Can
hurry, The
hurrying, over
hurt, Very
hurtled, around
husband, He
hush, fell
hushed, tones
hut, swathed
hysterical, 
i, am
iVo, growled
ice, creams
icecold, venom
iced, pumpkin
icily, But
icing, forming
icy, draft
idea, to
ideal, birthday
ideas, muttered
identical, to
idiot, said
idly, Page
if, this
ignited, the
ignition, with
ignore, the
ignored, him
ignoring, Nevilles
ill, Its
illegal, to
illustrations, which
imaginary, camera
imagine, Dumbledore
imagined, the
immaculate, in
immediately, Page
immensely, long
immersed, in
immobile, and
immobilizing, two
impact, of
impatiently, its
imploringly, at
importance, 
important, Halfway
importantly, her
impossible, But
impress, upon
impression, of
impressive, you
imprisoned, Harry
improved, by
impulse, to
in, two
incantations, and
incensed, stare
inch, of
inched, toward
inches, off
inching, sneakily
inclined, in
include, Ginny
included, a
including, the
increased, he
increasingly, sour
incredible, sight
incredulously, Harry
indeed, sitting
indignantly, people
indistinct, noise
indistinguishable, from
individual, way
inept, teachers
inexplicably, 
infirmary, too
inform, their
information, for
informed, me
ingredients, into
inherited, just
inject, some
injured, than
ink, What
inkling, that
inks, He
inky, black
inner, circle
innocent, hands
inquiry, 
insane, said
inside, it
insides, did
insist, they
insisting, on
inspect, it
installed, 
instant, death
instantly, though
instead, of
instinct, but
instructions, were
instructive, to
instruments, stood
insulting, thing
intake, of
intelligence, that
intended, to
intending, to
intense, pain
inter, someone
interest, Could
interested, in
interesting, they
interests, me
internationally, famous
interrogating, him
interrupted, in
intestines, 
intimate, friends
into, their
introduce, my
invasion, Ron
invented, a
investigate, Malfoy
invisible, hand
invitingly, with
involved, I
irksome, One
iron, his
ironing, said
irresolute, trying
irritable, woman
irritablelooking, man
irritably, Then
irritated, Harry
is, called
isnt, an
issue, of
issued, from
issuing, from
it, Theyll
itd, probably
items, at
itll, take
its, brain
itself, if
jabbed, him
jabbering, and
jabbing, here
jacket, Ron
jackets, He
jade, green
jadegreen, sleeves
jam, doughnut
jammed, He
jangling, cheerfully
jars, of
jaunty, angle
jaw, had
jaws, together
jealous, piped
jealously, at
jeered, Were
jeering, and
jerk, of
jerked, his
jerkily, Well
jerking, his
jet, black
jetblack, tapers
jets, of
jinxed, No
job, after
jobs, and
jogged, alongside
join, them
joined, the
joke, Now
jokin, he
joking, said
jolly, holiday
jolt, of
jostling, outside
journey, home
jovially, Shouldnt
jowls, aquiver
joy, at
joyfully, Youve
jug, again
juice, 
jumble, of
jumbled, untidily
jump, out
jumped, and
jumpedup, Granger
jumping, up
jumpy, Harry
junk, about
jus, lookin
just, got
jutted, aggressively
k, Harry
keeled, over
keen, on
keenly, down
keep, the
keeping, mightily
keeps, its
kelpies, out
kept, pointing
kettle, on
key, to
keyhole, Harry
keys, shrink
khaki, color
kick, from
kicked, him
kicking, Lockharts
kid, was
kill, that
killed, and
killin, next
killing, Muggleborns
killins, He
kills, people
kind, underwent
kinder, to
kindly, down
king, of
kippers, mountains
kissing, in
kitchen, with
kitchens, Page
knee, Harry
kneed, into
knees, sagging
knew, he
knife, and
knight, off
knives, and
knob, but
knobbly, hands
knobby, bald
knock, on
knocked, into
knocker, in
knocking, him
knot, of
knotgrass, and
knottiest, question
know, Call
knowing, about
knowingly, and
knowledge, that
knowledgeably, pinching
known, all
knows, what
knucklelike, twigs
knuckles, were
labeled, SkeleGro
labels, Harry
labyrinthine, passages
laced, up
lacewing, bag
lacewings, to
laden, with
ladies, and
ladled, large
lady, swung
lagged, behind
laid, upon
lake, probably
lamented, lords
lamp, rattle
lamplike, yellow
lamps, were
land, there
landed, heavily
landing, below
landmark, they
language, I
lank, hair
lanterns, large
lap, 
large, hole
larger, than
largest, pumpkins
lashed, Harrys
lashing, the
lasso, Seeing
last, summer
lasted, all
lasting, harm
lastminute, discussion
late, White
lately, 
later, found
laterunning, Quidditch
latest, model
laugh, again
laughed, so
laughing, 
laughter, that
launched, a
laundry, Hermione
law, shouted
lawn, accompanied
lawns, to
laws, and
lay, its
lazily, taking
lead, another
leaden, sky
leading, the
leads, she
leafstrewn, ground
league, Page
leaked, out
leaned, close
leaning, against
leaping, toadstools
leapt, to
learn, magic
learned, so
learning, should
leash, and
least, Blimey
leather, bag
leathery, looking
leave, you
leaves, rustling
leaving, the
lecture, on
led, Ginny
leeches, He
leered, at
leering, to
left, and
lefthanded, When
leg, against
legend, that
legendary, monster
legends, always
legholes, Er
legs, heavily
lend, you
length, of
lengthening, 
lengths, to
less, and
lesson, Lets
lessons, were
let, me
lets, get
letter, you
lettering, on
letters, of
letting, us
lettuce, since
level, voice
leveled, out
liberty, of
librarian, was
library, book
lick, your
lids, of
lie, in
lied, Not
life, again
lifesize, poster
lifetime, back
lift, him
lifted, the
lifting, Mr
light, shining
lightblue, stare
lightened, considerably
lightness, seemed
lightning, scar
lightningshaped, scar
lights, blazing
like, his
liked, your
likely, that
likenesses, he
likes, of
liking, for
lilac, midnightblue
limb, punched
limbs, and
limegreen, bowler
limelight, to
limericks, for
limp, rooster
limply, at
line, of
lined, with
lines, We
lingered, about
lining, up
lip, was
lips, and
liquid, on
list, He
listen, to
listened, Some
listenin, ter
listening, to
lists, with
lit, chamber
littered, with
little, girl
live, here
lived, here
lives, in
livid, and
living, people
lizard, from
ll, sign
load, of
loaded, up
loading, the
loads, to
loathed, by
loathing, Bet
lobbed, it
locating, the
lock, on
locked, and
locker, room
locking, you
lodged, in
lofty, shelves
loin, of
lolled, hopelessly
lonely, More
long, threatening
longer, strutting
longing, to
longingly, of
longnosed, someone
look, 
looked, resentful
lookin, round
looking, like
lookout, post
looks, like
loomed, into
loony, Ron
looped, and
loophole, when
loopy, signature
loose, a
loosening, the
lopsided, Taking
lord, voldemort
lords, ladies
lose, If
losing, my
loss, that
lost, me
lot, of
lots, of
loud, crack
louder, It
loudly, than
lounge, for
lousy, at
love, to
loved, me
lovely, game
lover, But
loves, Muggle
low, faint
lower, making
lowered, Ginny
lowering, the
lowly, the
lowslung, branches
loyal, to
loyalty, down
luck, I
luckily, weve
lucky, chance
ludicrous, But
luggage, from
lumbered, up
lump, was
lumpy, package
lunatics, Mr
lunch, he
lunchtime, People
lunged, at
lunging, out
lungs, and
lurch, Slowly
lurched, 
lurching, sideways
lurid, pink
lurked, in
lurking, doubt
luxury, eaglefeather
lying, curled
mad, hissing
madder, His
made, the
madly, A
magenta, Its
maggoty, haggis
magic, Harry
magical, transformations
magically, magnified
magicking, himself
magnetically, attracted
magnificent, Not
magnified, All
mail, 
main, road
mainly, cheers
make, sure
makes, you
making, Ron
malevolent, bat
malfunctioning, surpassing
malice, Here
man, for
manacles, hung
manage, it
managed, to
mangled, body
maniac, who
manner, that
manning, his
manor, last
manors, and
mantelpiece, beaming
manure, on
many, qualities
marathon, Fred
marble, and
march, ahead
marched, Lockhart
marchin, up
marching, on
mark, of
marked, him
market, my
marking, them
marks, he
marmalade, Ron
married, Muggles
marrow, a
marvelous, she
marvolo, riddle
masklike, And
masks, stared
mass, of
massive, specimen
master, when
masterpiece, of
masters, present
match, the
matchbox, Nevilles
matched, his
matches, are
matching, up
matter, to
matteroffact, tone
matteroffactly, as
matters, to
mattress, Harry
mature, she
mauve, today
may, have
maybe, itll
mayhem, in
me, at
meal, Mr
mealtimes, so
mean, Im
meaning, that
meaningful, look
meaningfully, on
means, of
meant, deal
meantime, Harry
meanwhile, had
measure, and
measures, are
measuring, his
meat, when
meddle, in
meddlesome, fools
medicine, Is
meet, the
meeting, her
megaphone, and
melon, As
melt, away
melted, 
melting, feeling
members, to
memories, wiped
memorized, Harrys
memory, back
memorys, gone
men, into
menace, who
menacing, way
mend, bones
mended, Harrys
menot, blue
mention, it
mentioned, it
mentioning, Riddles
mere, memory
merely, a
merits, a
merrily, on
mess, up
message, Right
messages, on
met, Tom
metal, on
method, Madam
methods, of
mewling, from
midair, somersault
middle, and
midmorning, when
midnight, when
midnightblue, had
midsentence, when
midst, Goodbye
might, have
mighta, bin
mightily, quiet
mightve, been
mild, surprise
mile, Harry
miles, by
milk, and
milkman, he
milky, eyes
minature, train
mind, Professor
minding, my
minds, at
mine, too
mingling, with
mints, when
minuscule, television
minute, neither
minutes, progress
miraculously, 
mirror, 
mirrored, the
mirth, Off
miserable, and
miserably, And
misery, at
misleading, said
misreading, the
miss, your
missed, He
missiles, As
missing, Harry
mist, before
mistake, but
mistaken, he
mistaking, him
misted, window
mistletoe, crisscrossing
misty, light
misunderstood, 
mixed, up
mixture, of
mmagic, 
mmust, have
moan, from
moaned, Dobby
moaning, moping
mock, puzzlement
model, student
modern, magic
modest, Gilderoy
mold, and
moldy, peanuts
moldylooking, book
moleskin, overcoat
molting, gray
moment, thinking
momentarily, on
moments, later
mommyll, have
money, for
monkeyish, with
monster, all
monsters, that
monstrous, in
month, of
monthly, terror
months, with
mood, didnt
moody, and
moon, glinting
moonlight, from
moonlit, grounds
moors, a
mop, for
moping, Myrtle
mopped, his
mops, Harry
morale, booster
moralebooster, became
more, of
moreover, right
morning, dawned
morosely, in
mortal, enemy
mortally, afraid
mossy, teeth
most, of
mostly, sir
motheaten, chair
mother, A
mothers, side
motioned, for
motioning, them
motionless, in
mottled, skin
mound, of
mountain, It
mountains, of
mounted, on
mounting, To
mournfully, Welcome
mousyhaired, boy
mouth, Professor
mouthed, at
mouthful, of
mouths, will
mouthwatering, treacle
move, He
moved, in
movement, The
moves, He
moving, to
mowed, the
much, mistaken
muck, and
mud, Apparently
muddy, Wood
muffled, voice
mug, of
muggy, sort
mugs, of
mullioned, windows
multicolored, ants
mum, and
mumbled, carefully
murder, Harrys
murdered, Myrtle
murdering, Harry
murderous, stare
murders, he
murky, brown
murmur, of
murmured, Lumos
murmuring, at
muscle, going
muscles, have
museum, would
music, to
musical, valentine
must, draft
mustache, quivering
mustnt, tell
mustve, seen
musty, folds
mutinous, muttering
muttered, wildly
muttering, around
my, friend
myself, fifty
mysterious, power
mysteriously, the
mystery, 
myth, It
myths, and
n, 
nagging, at
nails, digging
name, could
named, you
names, of
narrow, as
narrowed, ready
narrowly, missing
nastily, at
nasty, smile
nature, 
near, the
nearby, I
neared, the
nearer, Harry
nearest, window
nearly, a
neat, green
necessary, I
neck, If
necklace, Page
neckless, with
need, our
needed, to
needing, a
needs, now
neither, of
nephew, 
nerve, in
nervous, First
nervously, in
nervousness, into
net, At
never, one
nevertheless, kept
new, Defense
newborn, bird
newcomers, Every
news, Shame
newspaper, clipping
newt, tail
next, year
nibbled, his
nice, shiny
nicely, we
night, Harry
nightcap, He
nightdress, He
nighti, shouted
nightmare, 
nightmares, Meanwhile
nimbly, out
nine, generations
nineteen, or
nip, the
nnow, Ill
no, longer
noble, work
nobody, tried
nobodys, advice
nod, he
nodded, at
nodding, at
nods, and
noise, of
noiselessly, behind
noises, other
noisily, in
noisy, rocky
non, P
nondescript, and
none, as
nonmagic, parents
nonmagical, community
nonplussed, Harry
nonsense, of
noon, in
nor, had
normal, with
normally, as
north, each
nose, at
noses, in
nostrils, were
not, said
note, sounded
notes, There
nothin, 
nothing, to
notice, that
noticed, Both
notices, Come
noticing, where
notve, been
now, 
nowhere, near
nudged, Ron
nudging, Harry
numb, legs
number, he
numbers, at
numbly, at
nuns, a
nurse, was
nursing, his
o, Magic
oaf, Hagrid
oak, trunk
object, like
objections, by
objects, for
obscured, by
obvious, Was
obviously, knew
occasion, Why
occasionally, coming
occasions, 
occurred, to
oclock, onward
odd, His
oddly, Ginny
of, Secrets
off, the
offend, you
offense, meant
offered, him
offering, them
office, He
offices, Harry
official, warning
often, assured
oh, Harry
oil, lamp
oily, manner
okay, I
old, school
older, than
oldest, Weasley
ominous, muttering
ominously, Ron
on, them
once, They
one, day
onehanded, And
onell, ever
oneroomed, cabin
ones, died
oneup, on
onion, a
onlookers, Ginny
only, Dudley
onto, his
onward, the
ony, jokin
oozing, from
opals, Caution
open, the
opened, his
opening, the
openmouthed, toward
operation, went
opinion, you
opponent, Snape
opponents, 
opposite, And
option, but
or, Dumbledore
orange, party
orblike, eyes
orchestra, ground
ordeal, for
order, she
ordered, everyone
ordinary, bird
original, state
orphanage, if
orphaned, boy
orphans, raised
other, by
others, Weve
otherwise, 
our, most
ourselves, Now
out, his
outbreak, of
outburst, from
outdoor, type
outline, was
outlined, all
outoforder, bathroom
outofsight, corridor
outrage, I
outraged, You
outside, Professor
outstretched, feeling
outstripped, by
outstrips, the
outta, my
oven, door
over, the
overcast, courtyard
overcoat, But
overcome, with
overcooked, cabbage
overexcited, 
overhead, and
overheard, him
overridden, Rons
overtime, He
ow, from
owing, to
owinq, to
owl, to
owls, to
own, daughter
owned, the
owner, Its
owns, him
paced, around
paces, Ive
pacing, the
pack, with
package, in
packages, into
packed, their
paddock, the
padlocked, Harrys
page, Pipes
pages, Brilliant
paid, me
pain, receding
painful, said
painfully, and
pains, in
paint, all
painting, of
pair, of
pairs, staring
pajamas, and
pale, and
paler, than
palest, mauve
palms, It
pan, Every
pandemonium, The
pane, where
paneled, room
panic, Riddles
panicked, What
panicking, a
panicstricken, looks
panted, closing
panting, Rons
paper, came
papers, tore
paralyzed, with
parchment, in
pardon, said
parentage, believing
parentless, but
parents, one
park, that
parked, outside
part, in
parted, as
participate, in
particular, reason
particularly, if
parties, We
partly, because
partner, Miss
partners, called
party, in
pass, I
passage, and
passages, were
passageway, or
passageways, and
passed, in
passenger, seat
passing, butterflies
password, 
past, three
pasty, face
pat, as
patch, of
patched, up
patches, of
patchwork, of
paternally, as
path, it
pathetic, that
patience, I
patient, I
patiently, Professer
patrol, duty
patrolling, the
patted, the
patting, it
pause, Ill
paused, so
pay, for
paying, attention
peace, of
peaceful, rather
peacock, quill
peacocks, and
peanuts, yelling
pearly, patch
pearlywhite, and
pecking, their
peculiar, expression
pee, with
peeled, the
peeling, paint
peer, at
peered, keenly
peering, through
pelted, after
pelting, back
penetrating, stare
peony, bush
people, know
peoplell, be
peoples, mouths
pep, talk
percent, sure
perch, behind
perched, the
perfect, time
perfectly, happy
perform, simple
performed, the
perfume, of
perhaps, a
peril, He
periwinkle, blue
permission, to
permitted, to
perplexed, But
persecution, He
person, as
personally, think
persuade, Hermione
persuaded, Dippet
persuading, us
perturbed, by
pests, all
pet, bird
petrified, faces
pets, I
petulantly, I
phantom, completely
phoenix, which
phoenixes, They
photo, of
photograph, Colin
photographer, who
photographic, self
photographing, me
photographs, that
photos, you
phrase, like
pick, up
picked, up
picking, it
pickled, toad
picture, of
pictured, Stiff
pictures, with
picturesll, move
picturing, the
pie, as
piece, of
pieces, along
pierced, him
piercing, scream
pigging, out
pigpen, but
pigtails, anxiously
pile, of
piling, socks
pillar, A
pillars, as
pillow, But
pillowcase, But
pillows, watching
pimply, Peeves
pincenez, to
pincered, head
pincers, furiously
pinch, of
pinching, her
pink, as
pinkandgold, sky
pinker, How
pinkish, glow
pinned, against
pinstriped, suit
pipe, was
piped, up
pipes, how
piping, his
pit, of
pitch, that
pitchblack, He
pitchdark, and
pitched, headfirst
piteous, moan
pitiful, worries
pixie, Good
pixies, loose
place, On
placed, you
places, at
placidly, to
placing, the
plain, that
plan, could
planned, in
planning, next
plans, for
plant, pots
plants, firmly
plaque, on
plastered, frog
plastic, Melted
plate, when
plates, of
platform, And
platforms, nine
platters, cakes
play, 
played, Exploding
player, like
players, rose
playing, at
pleaded, with
pleasantly, Mr
please, Certainly
pleased, to
pleasure, at
plenty, of
plot, to
plotting, all
plucking, at
plugs, and
plum, cake
plumage, Fascinating
plumbers, Mr
plumbing, Ive
plumed, hat
plummeted, He
plummeting, the
plump, chocolate
plunderer, Borgin
plunderers, Your
plunged, it
plunging, At
plunking, a
pm, We
pocket, and
pocketed, Harrys
pockets, were
pocus, 
podium, and
poem, about
point, when
pointed, at
pointing, down
pointlessly, Hermione
points, for
poised, to
poison, through
poisonous, fang
poisons, might
poke, it
poked, their
poker, like
pokeryV, 
poking, out
poles, with
police, 
polish, his
polished, surface
polishing, it
politely, but
poltergeist, a
pompously, that
pond, full
pool, of
poor, but
pop, You
popped, out
popping, anymore
popular, singing
pored, over
pork, was
porky, Harry
porridge, Page
portable, waterproof
portly, ghost
portrait, hole
portraits, was
position, Lockhart
positioned, turquoise
positively, spitting
possible, she
possibly, work
post, They
postal, service
poster, of
posters, of
postponed, There
posts, Madam
pot, 
potato, Ron
potion, down
potions, had
pots, well
potty, wee
pouchy, face
pounce, said
pounced, 
pound, in
pounded, in
pounding, coming
pour, down
poured, from
pouring, a
powder, Slowly
powdered, horn
powders, a
power, in
powerful, countercharm
powers, to
ppotion, isnt
practice, at
practiced, disarming
practices, every
prattle, about
pre, match
prearranged, meeting
precaution, If
precious, sixty
precise, moment
prefect, Penelope
prefects, and
prefer, it
preferred, to
pregnant, pause
preoccupied, as
prepare, my
prepared, for
present, and
presented, with
presents, were
preserving, my
press, the
pressed, over
pressing, matters
pressure, Got
presume, to
pretend, these
pretended, to
pretending, to
pretty, nasty
prevent, any
prevented, Not
previous, year
priced, 
priceless, treasure
prickling, on
pride, myself
printed, name
prison, 
privacy, Moaning
private, Fred
privately, felt
privileges, until
prized, in
probably, the
problem, said
problems, He
proceeded, in
proclaimed, by
procure, some
prod, with
prodding, him
produced, in
professor, said
profile, for
program, Hes
progress, up
prominent, pureblood
promise, never
promised, to
prompted, him
promptly, Precisely
prone, to
proof, Harry
proper, wizard
properly, dry
properties, of
propped, open
prospect, of
protect, Harry
protected, me
protective, devices
protest, Not
proud, though
proudly, The
prove, she
proved, wrong
proven, guilty
provide, the
provided, food
provoke, them
prowled, through
prudent, 
pruned, and
pruning, shears
prying, Muggle
pub, for
public, 
publicity, photos
published, works
pudding, bowl
puddle, of
pudgy, hand
puff, of
puffed, herself
pufferfish, eyes
puffs, of
puffyeyed, and
pull, up
pulled, out
pulling, on
pummeled, it
pummeling, his
pumpkin, patch
pumpkins, had
punch, line
punched, Malfoy
punching, himself
punctuated, by
punctured, by
punish, himself
punished, I
punishment, Dont
punishmenti, We
punishments, Severus
pupil, Filch
pure, as
pureblood, families
purebloods, the
purge, the
purple, boots
purplefaced, uncle
purpling, You
purplish, green
purpose, trying
purposefully, toward
pursing, his
pursued, their
pursuit, But
push, and
pushed, the
pushing, their
put, me
putrid, haggis
puts, it
putting, a
puzzled, but
puzzlement, Who
python, smash
qualify, you
qualities, Salazar
quarter, of
quavering, voice
quelling, look
question, Dobby
questioning, Harry
questions, for
quick, 
quicker, dear
quickly, there
quickresult, easy
quickstep, Stop
quiet, about
quietly, to
quill, and
quills, people
quite, like
quiver, in
quivering, again
quiz, Nothing
rabbits, he
raced, up
racing, brooms
racket, the
racking, sobs
radio, next
raffle, off
rag, with
rage, She
raged, holding
ragged, thing
raided, our
raids, 
rain, falling
raise, his
raised, a
raising, his
raked, Harrys
ram, was
rammed, it
rampaging, rhino
ran, down
random, wanting
rang, with
range, of
ransfiguration, 
ranting, on
rap, on
rapidly, Page
rapped, on
rapt, silence
rapturously, Excellent
rare, gift
rarely, been
rash, promise
rasp, of
rat, tails
rate, therell
rather, than
rats, skull
rattle, PEEVES
rattled, the
rattling, the
raucous, party
ray, of
razorsharp, pincers
re, you
reach, for
reached, for
reaching, out
read, about
readily, as
reading, and
ready, The
real, loyalty
realize, that
realized, that
realizing, its
really, dont
reappear, at
reappeared, No
rear, Ron
rearing, and
rearranged, themselves
reason, Ginny
reasonably, I
reassured, her
reassuringly, to
reboned, but
reborn, from
recall, 
recapture, his
receded, along
receding, Page
receive, Special
received, the
recent, tragedy
recently, managed
recipe, Lacewing
recited, watching
reckon, Harry
reckoned, of
reckons, he
recognizable, Hardly
recognized, as
recognizing, He
recommend, Divination
reconstructions, so
record, So
recorded, my
records, against
recount, what
recovering, himself
recovery, from
red, gleam
reddening, slightly
redeyed, through
redhaired, longnosed
redheaded, figure
reduced, to
reedy, voice
reeling, backward
reenacted, some
refilling, itself
reflected, in
reflecting, the
reflection, 
refreshing, breeze
refused, to
refusing, to
regain, the
regard, him
regret, telling
regrets, more
regretting, his
regrow, Out
regular, training
rein, at
rejection, letter
related, to
relative, calm
relatives, Quietly
release, it
released, him
relenting, and
relief, 
relieved, or
relish, It
reluctantly, Theres
remain, at
remainder, of
remained, of
remaining, descendant
remains, to
remarkable, how
remarkably, like
remarks, about
remember, Well
remembered, something
remembering, he
remembers, how
remind, you
reminded, Harry
reminds, me
remnants, of
remotely, handsome
removal, Lucius
remove, the
removed, them
repainted, the
repair, It
repeat, what
repeated, all
replaced, by
replied, Plenty
reply, You
report, the
reported, all
reporter, He
reporters, to
repotting, again
reproving, glare
reputation, for
requested, you
requirements, With
rereading, the
rescue, He
rescued, the
resembled, a
resentful, and
resentfully, That
residence, this
resignation, Weasley
resigned, to
resolve, and
resourcefulness, 
respect, for
resplendent, in
response, from
responsibility, He
rest, of
restarted, Reverse
resting, his
restlessly, in
restorative, said
restore, calm
restored, it
result, that
results, came
resume, play
resurfaced, as
resurfacing, in
retaliated, they
retched, and
retired, for
retorted, He
retreated, into
retreating, backs
retrieve, the
retrieved, the
return, next
returned, several
returning, to
revealing, forbidden
reverently, his
reverse, of
reversed, back
revive, those
revolted, look
revolting, things
revolving, bow
revved, louder
rhino, They
rhinoceros, and
ribs, flames
rich, father
rid, of
ridden, by
ridding, of
riddle, Then
riddled, with
ride, it
ridge, of
ridicule, However
ridiculous, Muggle
riding, Harrys
rifled, through
rift, began
righ, said
right, through
rigid, face
rim, told
ringing, silence
rings, a
rip, 
ripped, the
ripping, a
rippling, in
rips, for
risen, to
rising, once
risk, it
riskier, to
risks, his
rival, those
road, ahead
roam, our
roar, from
roared, Wood
roaring, trade
roast, pork
robbery, but
robbing, his
robe, shop
robes, and
rock, to
rocketing, around
rockets, Two
rockfall, Ginny
rocking, backward
rocks, was
rocky, minutes
rods, 
rogue, Page
roguish, wink
roll, it
rolled, up
rollercoaster, ride
rollers, The
rolling, up
rolls, Harry
roof, of
rooftops, of
room, Dobby
roomier, dungeons
rooms, by
roomy, from
rooster, feathers
roosters, So
roots, and
rope, as
rose, to
roses, and
rot, to
rotten, fish
rotter, song
rotting, newt
rough, stone
round, greenish
rounded, on
roundfaced, and
route, to
routine, to
roved, over
roving, around
row, of
rows, They
rremember, is
rubbed, his
rubber, glove
rubbery, boneless
rubbing, his
rubbish, in
rubies, blazing
rubyencrusted, sword
rubyred, it
ruddy, well
rude, of
rue, the
ruff, which
ruffle, his
ruffled, her
ruin, of
ruined, book
ruinin, the
ruining, my
rule, breaking
rules, he
rumble, Snapes
rumbled, off
rumbling, of
rumor, about
rumors, that
rumpled, gray
run, through
runin, with
running, or
runny, but
runs, the
rush, of
rushing, down
rustling, behind
rusty, spiked
s, shoes
sabers, 
sabertoothed, tiger
sack, Youll
sacked, as
sacks, over
sad, and
sadly, at
safe, now
safely, down
safer, by
safest, place
safety, of
sagely, Doesnt
sagged, but
sagging, with
said, Harry
sailing, past
sake, Harry
salamander, suddenly
salamanders, mouth
sale, Draco
sallow, skin
salmon, Can
salmonpink, cocktail
salvers, there
same, sticky
sample, 
sandwich, So
sandwiches, as
sang, Dudley
sank, so
sarcastic, and
sat, motionless
satisfaction, Oh
satisfactory, Hagrid
satisfied, smile
saucepan, He
sausages, onto
savagely, as
save, my
saved, her
saw, his
saws, played
say, Got
sayin, Page
saying, Amazing
says, so
scalawag, he
scales, and
scalp, and
scaly, nose
scampered, away
scampering, around
scanned, the
scar, Not
scare, Riddle
scared, Then
scaredlooking, first
scarf, didnt
scarlet, wings
scarves, on
scathing, Draco
scattered, applause
